gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT03_2546137,complete,,LCK,2022,Spring,0,18/02/2022 5:07,1,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Jarvan IV,Akali,Tryndamere,Poppy,1955,1,22,25,46,22,25,5,0,0,0,0,,,,0.6752,1.4425,0,2,2,2,2,1,1,0,0,0,0,,0,0,1,2,0,1,2,0,1,11,1,1,1,12,8,5,0,96958,2975.6931,,3381.4834,3293.156,117,3.5908,41,1.2583,42,239,7.335,66357,45038,1382.2404,,62570,0.0587316,,755,244,,,30.6598,16954,20033,356,16550,18262,334,404,1771,22,2,4,3,3,6,2,27399,29665,533,25800,28669,512,1599,996,21,3,6,5,5,12,3
ESPORTSTMNT03_2546195,complete,,LCK,2022,Spring,0,18/02/2022 8:52,2,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Akali,Zeri,LeBlanc,Tryndamere,1321,1,20,8,37,20,8,2,2,0,0,1,,,,0.9084,1.2718,1,1,2,1,2,0,1,0,0,0,0,,0,0,1,2,0,1,1,0,1,10,2,1,1,11,6,2,0,43258,1964.7843,,2652.7176,1759.3036,74,3.3611,29,1.3172,29,165,7.4943,49266,34417,1563.2248,,43383,0.138331,,605,149,,,34.2468,17941,20408,329,16530,18285,334,1411,2123,-5,6,7,3,3,3,6,29777,31792,495,25267,29643,513,4510,2149,-18,11,17,6,6,9,11
ESPORTSTMNT03_2547455,complete,,LCK,2022,Spring,0,20/02/2022 10:44,1,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Graves,Zeri,Tahm Kench,Jarvan IV,2374,1,8,0,24,8,0,1,0,0,0,1,,,,0.2022,0.2022,1,5,1,4,1,1,0,2,1,0,0,,1,0,0,1,1,0,1,1,0,7,3,1,1,1,6,1,0,48160,1217.1862,,2353.9259,2270.8003,163,4.1196,93,2.3505,63,410,10.3623,70969,45377,1146.8492,,61425,0.00571429,,1147,275,,,35.9393,14892,18066,341,15506,18496,360,-614,-430,-19,0,0,0,0,0,0,23605,29474,551,24026,29350,560,-421,124,-9,1,2,0,0,0,1
ESPORTSTMNT03_2547511,complete,,LCK,2022,Spring,0,20/02/2022 12:30,2,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Zeri,Yuumi,Aphelios,Jhin,2457,0,20,28,44,20,28,1,0,0,0,0,,,,0.4884,1.1722,0,1,4,1,4,0,1,0,0,0,0,,0,0,1,2,0,1,1,2,1,8,11,1,1,5,8,2,1,93515,2283.6386,,2637.7045,2465.3724,160,3.9072,100,2.442,58,380,9.2796,73532,47093,1150.0122,,76400,0.0247126,,989,253,,,30.3297,16012,17975,329,16434,17928,296,-422,47,33,3,9,5,5,5,3,24946,27775,497,27434,29716,492,-2488,-1941,5,5,11,8,8,7,5
ESPORTSTMNT03_2547540,complete,,LCK,2022,Spring,0,20/02/2022 13:35,3,12.03,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Azir,Jayce,Sylas,Akali,Vex,1780,1,20,5,43,20,5,2,1,1,0,0,,,,0.6742,0.8427,0,3,2,3,2,2,0,0,0,0,1,,0,0,0,0,2,1,1,0,1,8,3,1,1,4,4,1,0,64259,2166.0337,,1925.5618,1579.7865,123,4.1461,55,1.8539,36,273,9.2022,56410,36879,1243.1124,,48950,0.0544567,,748,198,,,31.8876,15827,18521,321,15524,18357,326,303,164,-5,2,3,2,2,2,2,25770,30267,505,24728,28930,510,1042,1337,-5,6,10,4,4,4,6
ESPORTSTMNT03_2568861,complete,,LCK,2022,Spring,0,23/02/2022 9:45,1,12.03,100,Blue,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Jarvan IV,Karma,Ryze,Hecarim,Jayce,1805,1,22,11,49,22,11,4,2,0,0,1,,,,0.7313,1.097,0,2,1,2,1,1,0,0,1,0,0,,0,0,0,1,1,1,2,0,1,9,2,1,1,8,6,1,0,71936,2391.2244,,2539.4127,1755.2909,97,3.2244,63,2.0942,43,248,8.2438,62459,42668,1418.3269,,54855,0.159008,,760,201,,,31.9446,18491,18690,343,17385,19380,326,1106,-690,17,3,6,7,7,7,3,26702,29102,531,25820,29571,508,882,-469,23,4,8,8,8,8,4
ESPORTSTMNT03_2568906,complete,,LCK,2022,Spring,0,23/02/2022 11:41,2,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Twisted Fate,Zeri,Ryze,LeBlanc,Jayce,2776,1,12,12,32,12,12,1,0,0,0,1,,,,0.2594,0.5187,0,2,5,2,4,1,0,1,0,0,0,,0,1,1,1,1,1,2,1,1,9,5,1,1,7,5,1,0,81499,1761.5058,,2602.2839,2367.0821,153,3.3069,84,1.8156,63,409,8.8401,82121,52426,1133.1268,,77905,-0.0257598,,1182,322,,,32.5072,17468,18355,337,16274,18702,309,1194,-347,28,2,3,1,1,2,2,25661,29394,555,24564,29824,506,1097,-430,49,2,3,2,2,3,2
ESPORTSTMNT03_2580163,complete,,LCK,2022,Spring,0,26/02/2022 9:35,1,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Akali,Zeri,Yuumi,Jayce,Leona,1825,1,19,12,40,19,12,2,1,0,0,0,,,,0.6247,1.0192,0,2,2,2,2,0,0,2,0,0,0,,0,0,0,1,1,1,1,0,1,9,3,0,1,5,5,1,0,75937,2496.5589,,2506.8164,1759.2329,125,4.1096,43,1.4137,47,225,7.3973,61114,41116,1351.7589,,55875,0.0902502,,839,208,,,34.4219,16089,18940,357,15799,18109,331,290,831,26,1,1,2,2,4,1,25542,30034,546,25366,30250,527,176,-216,19,3,5,5,5,8,3
ESPORTSTMNT03_2580198,complete,,LCK,2022,Spring,0,26/02/2022 11:41,2,12.03,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Ryze,Zeri,Lee Sin,Gwen,Leona,1596,1,15,7,32,15,7,2,1,0,0,0,,,,0.5639,0.8271,1,2,1,2,1,0,0,1,0,0,1,,0,0,0,1,1,1,1,0,1,9,1,1,1,4,5,1,0,52114,1959.1729,,2449.1353,2182.7444,92,3.4586,45,1.6917,38,220,8.2707,53010,35354,1329.0977,,46850,0.112025,,764,181,,,35.5263,16457,18353,333,16623,18189,303,-166,164,30,3,6,5,5,8,3,26143,30011,549,26309,29875,521,-166,136,28,5,8,6,6,11,5
ESPORTSTMNT01_2734770,complete,,LCK,2022,Spring,0,3/03/2022 6:55,1,12.04,200,Red,team,,,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,,Hecarim,Ryze,Twisted Fate,Tryndamere,Yone,1924,1,20,6,46,20,6,0,0,0,0,1,,,,0.6237,0.8108,0,2,2,2,2,2,0,0,0,0,0,,0,0,1,2,0,1,1,0,1,10,3,1,1,6,0,2,0,71697,2235.8732,,2686.341,2069.6258,118,3.6798,61,1.9023,40,286,8.9189,63687,42681,1331.0083,,56505,0.103882,,866,221,,,33.8981,15517,18031,336,14474,16842,311,1043,1189,25,1,3,0,0,0,1,25785,29502,537,22704,28408,515,3081,1094,22,3,6,1,1,2,3
